id,first_name,last_name,country,age,birth_year,height,weight
89441,Elisa,Watzl,GER,15,2005,,
89451,Susanne,Ruther,GER,16,2004,,
89461,Benedikt,Gietl,GER,13,2007,,
89471,Gabriel,Selensky,GER,11,2009,,
89501,Paulina,Bär,GER,13,2007,,
89541,Simon,Ball,GER,16,2003,,
89561,Anna,Benkert,GER,13,2007,159 cm,45 kg
89591,Sebastian,Schindler,GER,26,1994,,0 kg
89601,Fynn,Krauser,GER,16,2004,,
89611,Lena,Ludwig,GER,16,2004,,
89721,Kilian,Krosta,GER,14,2006,,
89731,Mai,Stolz,GER,12,2008,,
89741,Maja,Borowy,GER,15,2005,,
89751,Miriam,Matthees,GER,12,2008,,
89771,Jakob,Koch,GER,12,2008,,
89871,William,Wiedemann,GER,10,2010,,
89875,Hanna,Patrzek,GER,11,2008,,
89891,Tim,Schulz,GER,13,2007,,
89901,Kilian,Gründler,GER,10,2009,,
89911,Paula,Karrasch,GER,10,2010,,
89921,Mia,Fuchs,GER,11,2009,,
89931,Katharina,Plewa,GER,12,2008,,
89941,Aurelia,Bittorf,GER,9,2010,,
89951,Helena,Baur,GER,12,2008,,
89971,Adrian,Buchmann,GER,16,2004,,
89981,Julika,Häusler,GER,15,2005,,
78001,Pedro,Moita,POR,17,2003,,
78004,Gustavo,Cunha,POR,15,2004,,
78007,Afonso,Mendes,POR,17,2003,,
78010,Alexandre,Lopes,POR,15,2005,,
78013,João,Almeida,POR,17,2003,,
78016,Diogo,Pires,POR,18,2001,,
78019,Beatriz,Anacleto,POR,14,2005,,
78025,Andrej,Buzasi,SVK,15,2005,,
78031,Sofia,Durkova,SVK,15,2005,,
78034,Dorota,Bulandova,SVK,15,2005,,
78037,Martin,Smilnak,SVK,15,2005,,
78043,Eva,Puhar,SLO,16,2004,,
78046,Hana,Humerca,SLO,15,2004,,
78049,Havijer,Lesnik,SLO,19,2001,,
78052,Jaka,Jaki,SLO,15,2005,,
78055,Luka,Jerman,SLO,14,2005,,
78058,Sara,Copar,SLO,15,2005,,
78061,Tim,Korosec,SLO,15,2005,,
78073,Alessia,Mabboni,ITA,15,2005,,
78079,Simone,Mabboni,ITA,19,2001,,
78082,Agostino,Bearzi,ITA,16,2004,,
78085,Anselmo,Bazzani,ITA,15,2004,,
78088,Alessandro,Mele,ITA,15,2005,,
78091,Johannes,Egger,ITA,18,2002,,
78094,Davide,Zane,ITA,15,2005,,
78103,Sarunas,Oberauskas,LTU,39,1981,,
78109,Leonie,Wenger,GER,16,2004,,
78121,Vladislav,Budnik,RUS,26,1994,,
78131,Igor,Khamaev,RUS,16,2003,,
78146,Ivan,Hinak,BLR,16,2004,,
78155,Mikuláš,Petrik,CZE,16,2004,,
78164,Yasmin,Herrera,GUA,18,2001,,
78167,Lurdes,Gadala-Maria,GUA,32,1988,,
78173,Ella,Kerry,HUN,16,2004,,
78176,Bence,Fuksz,HUN,15,2004,,
78179,Daniel,Nygren,SWE,38,1981,,
78182,Linnea,Vriesen,GER,14,2006,,
78185,Jule,Peltzer,GER,12,2007,,
78191,Anastasiia,Skidan,UKR,16,2004,,
78194,Viktiriia,Nikitina,UKR,15,2005,,
78200,Simon,Becher,GER,13,2007,,
78206,Thorben,Großmann,GER,13,2007,,
78212,Robin,Glanz,GER,13,2007,,
78227,Noe Nina,Pergamentzev,ISR,16,2004,,
78230,Shifra,Ben Avraham,ISR,37,1983,,
78233,Flavia,Ghilardi,SUI,9,2011,,
78242,Julius,Patzner,GER,14,2005,,
78254,Josefine,Wolf,GER,31,1989,,
78263,Valeriia,Hritskova,UKR,18,2002,,
78272,Katerina,Macharackova,CZE,19,2001,,
78278,Eva,Mol,NED,36,1984,,
78296,Daria,Nesterenko,UKR,17,2003,,
78308,RACHELLE,DE CHARMOY,RSA,33,1987,,
78314,Julia,Urban,GER,14,2006,,
78320,Emma,Hottenroth,GER,11,2009,,
78323,Johanna,Diepolder,GER,11,2009,,
78329,Petra,Čulić,CRO,16,2003,,
78335,Hannah,Kerr,GBR,15,2005,,
78341,Zak,Brown,GBR,16,2004,,
78344,Alfie,Duckworth,GBR,16,2004,,
78347,Gwen,Morgan,GBR,15,2005,,
78350,Oksana,Burova,UKR,16,2004,,
78353,Alina,Shchyharieva,UKR,18,2002,,
78356,Polina,Kolomoiets,UKR,15,2005,,
78359,Daria,Tkachova,UKR,15,2005,,
78362,Dmytro,Ilukhin,UKR,17,2003,,
78371,Benedikt,Reiss,GER,13,2006,,
78383,Helena,Sieber,GER,11,2009,,
78386,Annalena,Gietl,GER,15,2005,,
78392,Anna,Bakurecz,HUN,16,2004,,
78413,Valentin,Weber,GER,11,2009,,
78416,Theofanis Ermis,Theocharopoulos,GRE,20,2000,,
78419,Katrine,Vandet Salling,DEN,26,1994,,
78422,Eszter Evelin,Forgács ,HUN,17,2003,,
78428,Máté András,Viszlai,HUN,17,2003,,
78437,Luca,Boldrini,ITA,15,2005,,
78440,Giulia,Di Tommaso,ITA,15,2005,,
78446,Dragos Gabriel,Flueraru,ROU,14,2005,,
78461,Fabian,Wick,SUI,18,2002,,
78464,Ao,YURIKUSA,JPN,18,2002,,
78473,Filippos,LAVRENTAKIS-RIGAKIS,GRE,15,2005,,
78476,Myrto,ARGYRIOU,GRE,15,2005,,
78479,John-Philip,NOEL-BAKER,GRE,17,2003,,
78482,Olga,EXAKOIDI,GRE,14,2005,,
78485,Vasileios,GLIATIS,GRE,16,2004,,
78488,Dimitrios,KALLIKAS,GRE,16,2004,,
78494,Franklin,Cardenas Vicente,PER,31,1989,,
78497,Sofia Alejandra,Herrera Vega Centeno,PER,24,1995,,
78506,Zoi,PALTATSIDOU,GRE,15,2005,,
78509,Sofia,Bellesini,ITA,14,2005,,
78512,Daniele,Balestrazzi,ITA,14,2005,,
78518,Marco,Rontini,ITA,15,2005,,
78521,Francesco,Govoni,ITA,15,2005,,
78524,Andrea,Biassoni,ITA,18,2002,,
78527,Alessandro,Giorgianni,ITA,16,2004,,
78533,Diane,Drayton,NZL,48,1972,,
78539,Karina,Schweitzer,GER,28,1991,,
78554,Elise,Mannerstråle,SWE,15,2005,,
78557,Jung,Seraina,SUI,9,2011,,
78566,Luca Valentin,Gey,GER,12,2008,,
78569,Zorka,Somorjai,HUN,15,2005,,
78575,Helen,Stiehler,SUI,8,2012,,
78578,Leona,Nef,SUI,8,2012,,
78581,Kenneth,Ellacott,GBR,29,1991,,
78587,Luke,Smith,GBR,31,1989,,
78590,Martha,Evans,GBR,20,2000,,
78593,Leanora,Volpe,GBR,27,1993,,
78596,James,Rudge,GBR,27,1992,,
78599,Lux,Losey Sail,GBR,17,2003,,
78602,Michal,Takacs,SUI,40,1980,,
78605,Barbora,Takacsova,SUI,10,2010,,
78611,Ariane,Franken,GER,14,2005,,
78615,David,Vantoia,ROU,17,2002,,
78619,Daniel Denis,Andrei,ROU,16,2004,,
78621,Nusaybah - GBR,Hussain,SUI,14,2006,,
78624,Carmen,Lippuner,SUI,11,2008,,
78628,Diego,Belinger,SUI,12,2008,,
78633,Hannah,Christen,SUI,9,2011,,
78636,Joel,Odinga,SUI,11,2008,,
78640,Jasha,Fuchs,SUI,8,2012,,
78642,Mias,Frick,SUI,12,2008,,
78646,Merlin,Bernard,SUI,11,2008,,
78649,Tim,Weideli,SUI,9,2011,,
78651,Jorim,Gmür,SUI,9,2011,,
78652,Sabina,van Essen,NED,14,2005,,
78653,Simón,Padin,ARG,24,1996,,
78654,Camila,Gonzalez,CHI,16,2004,,
78656,Maria,Nedelcheva,BUL,15,2005,,
78658,Lux,Graf,SUI,9,2011,,
78672,Linda,Angioletti,SUI,22,1998,,
78675,Natan,Guidotti,SUI,16,2003,,
78678,Stephen,Huisman,SUI,40,1980,,
78687,Raphael,Mori,SUI,14,2006,,
78690,Nadav,Larom,ISR,15,2005,,
78693,Shaked,Mandler,ISR,15,2005,,
78696,Alma,Markman,ISR,17,2003,,
78699,Ishay,Halfon,ISR,17,2003,,
78705,Preslav,Georgiev,BUL,15,2005,,
78711,Matthias,Verbert,BEL,16,2004,,
78714,Maro,Hilgert,BEL,15,2005,,
78717,Samuel,Duron,BEL,17,2002,,
78720,Sevar,Georgiev,BUL,18,2002,,
78723,Franz Josef,Weber,MEX,31,1989,,
78726,Jennifer Marie,De la torre ,MEX,31,1989,,
78738,Cesare,Cunico,ITA,30,1989,,
78744,Tânia,Chaves,POR,25,1995,,
78747,Emily,McDermott,CAN,24,1996,,
78762,Federico,Di felice,ITA,32,1988,,
78774,Nadia,Bredice,ITA,32,1988,,
78810,Tadashi,TAKANO,JPN,37,1983,,
78813,Kazuhiko,ONUMA,JPN,33,1986,,
78816,Lukas,Sager,AUT,15,2005,,
78822,Tim,Schaffrinna,GER,24,1995,,
78831,Agnes,Lopez E,GER,28,1992,,
78834,Christoph,Pohlmann,GER,42,1978,,
78852,Mehdi,Pahnavar,GER,39,1981,,
78858,Anna,Lipp,GER,31,1989,,
78867,Hayato,HOSHINO,JPN,24,1996,,
78873,Sogen,KANO,JPN,49,1971,,
78879,Shuhei,YUKI,JPN,33,1986,,
78915,Lauren,Pine,USA,53,1967,,
78924,Melissa,Ruiz,USA,25,1995,,
78927,Manasi,Deshpande,USA,34,1985,,
78930,Michelle,Ward,USA,25,1995,,
78933,Kyle,Long,USA,33,1987,,
