,athlete_id,rank,year,title,date,comp_id,cat_id,type
303,1211,7,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
304,1213,8,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
305,990,9,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
306,1002,10,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
307,1356,11,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
308,1301,12,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
309,1029,13,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
310,1034,14,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
311,1112,15,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
312,1154,16,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
313,1053,17,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
314,1183,18,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
315,1157,18,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
316,1079,18,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
317,1077,21,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
318,1266,22,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
319,1332,23,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
320,1288,24,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
321,1128,24,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
322,1119,26,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
323,1149,27,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
324,1359,27,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
325,1152,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
326,1175,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
327,1188,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
328,1251,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
329,1316,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
330,1261,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
331,1271,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
332,1379,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
333,1277,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
334,1083,29,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
335,1235,39,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
336,1173,39,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
337,1263,41,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
338,1231,42,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
339,1039,43,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
340,1159,44,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
341,1110,45,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
342,1004,46,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
343,1352,46,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
344,1027,48,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
345,1076,49,1991,uiaa worldcup - innsbruck 1991,20 September 1991,82,2,lead
346,973,1,1991,uiaa worldcup - tokio 1991,16 Oktober 1991,84,1,lead
347,268,2,1991,uiaa worldcup - tokio 1991,16 Oktober 1991,84,1,lead
348,461,3,1991,uiaa worldcup - tokio 1991,16 Oktober 1991,84,1,lead
