ID,Name,Dates
"8474","Westdeutsche Meisterschaft Speed 2019 - Hilden","31 August 2019"
"6673","21. offene Rheinland-Pfalz-Meisterschaft Lead 2017 - Pfalz Rock Frankenthal (Qualifikation zur WDM)","10 Juni 2017"
"7544","BaWü Meisterschaft Speed - Heilbronn","15 September 2018"
"7158","IFSC Climbing Worldcup (B) - Vail (USA) 2018 ","8  - 9 Juni 2018"
"6843","IFSC Climbing Worldcup (L) - Kranj (SLO) 2017","11  - 12 November 2017"
"6900","European Championship (B) - Munich (GER) 2017 ","18  - 19 August 2017"
"6439","European Youth Cup (B) - Sofia (BUL) 2017","5  - 6 August 2017"
"6182","IFSC Climbing Worldcup (B) - Vail (USA) 2017","9  - 10 Juni 2017"
"6158","IFSC Climbing Worldcup (B) - Meiringen (SUI) 2017 ","7  - 8 April 2017"
"1637","IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2016","20  - 21 Mai 2016"
"1593","IFSC Climbing Worldcup (L) - Kranj (SLO) 2015","14  - 15 November 2015"
"1545","European Youth Championship (L,S) - Edinburgh 2014","14  - 15 Juni 2014"
"7276","Deutsche Meisterschaft Speed 2018 - Hilden","21 Juli 2018"
"6669","Offene Bouldermeisterschaft Rheinland-Pfalz 2017 - RockTown Kaiserslautern","22 April 2017"
"5725","20. offene Rheinland-Pfalz-Meisterschaft - Pfalz Rock Frankenthal 2016 (L)","17 September 2016"
"5629","RockTown ""Summer Challenge - Round 2"" 2015","6 Juni - 9 Juli 2015"
"6132","RockTown ""Summer Challenge - Round 3"" 2016","22 Juli - 17 August 2016"
"7947","IFSC Climbing Worldcup (L) - Briançon (FRA) 2019 ","19  - 20 Juli 2019"
"7164","IFSC Climbing Worldcup (L,S) - Villars (SUI) 2018 ","6  - 7 Juli 2018"
"6092","RockTown ""Summer Challenge - Round 1"" 2016","21 Mai - 22 Juni 2016"
"5630","RockTown ""Summer Challenge - Round 3"" 2015","11 Juli - 13 August 2015"
"7202","Offene Bouldermeisterschaft Rheinland-Pfalz - RockTown Kaiserslautern","10 März 2018"
"5289","Deutscher Speedcup - München 2012","1 Juli 2012"
"5623","1.Sächsischer Kinder-Jugendcup Lead in Zittau 2015","18 April 2015"
"5570","1. Sächsischer Kinder- und Jugendcup Bouldern in Dresden 2015","7 März 2015"
"5511","Offener Sächsischer Kinder-Jugendcup Lead Teil 2 in Zittau","14 Juni 2014"
"5512","Offener Sächsischer Kinder-Jugendcup Lead Teil 1 in Leipzig","24 Mai 2014"
"5464","Offener Sächsischer Kinder-Jugendcup Bouldern Teil 1 in Dresden","8 März 2014"
"5430","4. Wettkampf zum Sächsischen Kinder- und Schülercup 2013","9 November 2013"
"5427","3.Wettkampf zum Sächsischen Kinder- und Schülercup 2013","28 September 2013"
"5418","2. Wettkampf zum Sächsischen Kinder- und Schülercup 2013 in Leipzig","1 Juni 2013"
"6661","Offene Sächsische Landesmeisterschaft 2017 Bouldern in Leipzig","25 März 2017"
"5837","Offene Sächsische Landesmeisterschaft Lead in Dresden, Senioren/AK 40+/Jugend A/B/C","5 November 2016"
"5840","Offene Sächsische Landesmeisterschaft Speed in Dresden, Senioren/Jugend A/B/C","5 November 2016"
"5816","Sächsischer Jugendcup Wk3 Lead 2016 Zittau","4 Juni 2016"
"5846","Sächsischer Jugendcup Wk2 Bouldern 2016 Leipzig","23 April 2016"
"8515","Offene Sächsische und Berliner Landesmeisterschaften Bouldern 2019 - Berlin","25 März 2019"
"7503","Offene Sächsische/Berliner Meisterschaft Bouldern in Dresden","10 März 2018"
"6645","Sächsischer Jugendcup 2017- Wk3 Lead in Dresden (LJS) ","17 Juni 2017"
"5631","Sächsischer Kinder- und Jugendcup Bouldern 2015 Teil 2 - Landesjugendspiele","4 Juli 2015"
"5515","Offener Sächischer Kinder- und Jugendcup Lead Teil 3 in Freiberg","8 November 2014"
"5410","1. Wettkampf zum Sächsischen Kinder- und Schülercup 2013 in Zittau","13 April 2013"
"7880","3.Sächsischer Kinder- und Jugendcup 2018- WK1 Lead in Zittau","3 November 2018"
"5805","Sächsischer Jugendcup Wk1 Bouldern 2016 Dresden","5 März 2016"
"5524","Offener Sächsischer Kinder-Jugendcup Bouldern Teil 2 in Chemnitz","5 Juli 2014"
"6657","Sächsischer Jugendcup 2017 - Wk6 Lead in Dresden XXL","4 November 2017"
"6649","Sächsischer Jugendcup 2017 - Wk4 Bouldern in Dresden Mandala","2 September 2017"
"6641","Sächsischer Jugendcup 2017- Wk2 Lead in Heidenau YoYo","13 Mai 2017"
"6637","Sächsischer Jugendcup 2017-Wk1 Bouldern in Dresden Messehalle","11 März 2017"
"5825","Sächsischer Jugendcup Wk5 Lead 2016 Dresden, Jugend D/E/F","5 November 2016"
"8301","Sächsischer Jugendcup 2019 WK2 Lead LJS Dresden","29 Juni 2019"
"10691","Nord-Ostdeutsche Meisterschaft Bouldern im BiG Bouldern in Göttingen","12 September 2020"
"8352","Offene Sächsische/Berliner Landesmeisterschaft Lead in Dresden","28 September 2019"
"8449","Deutsche Meisterschaft Olympic Combined 2019 - Augsburg","21  - 22 September 2019"
"9081","Offene Norddeutsche Jugendmeisterschaft Bouldern im escaladrome Hannover","23 Februar 2020"
"8304","Sächsischer Jugendcup 2019 Wk4 Lead Zittau","2 November 2019"
"8404","Sächsischer Jugendcup 2019 Wk3 Lead YOYO Heidenau","7 September 2019"
"8295","Sächsischer Jugendcup 2019 Wk1 Bouldern Messe Dresden","16 März 2019"
"7883","4.Sächsischer Kinder- und Jugendcup 2018- WK1 Bouldern in Leipzig","10 November 2018"
"7716","1.Sächsischer Kinder- und Jugendcup 2018- WK1 Bouldern in Dresden","2 Juni 2018"
"10081","2. Deutscher Jugendcup (L) 2020 - Wetzlar","26  - 27 September 2020"
"9101","Sächsischer Jugendcup 2019 Wk5 Bouldern in Dresden","23 November 2019"
"7874","2.Sächsischer Kinder- und Jugendcup 2018- WK1 Lead in Dresden","29 September 2018"
"8337","Asian Combined Youth Championships - Chongqing (CHN) 2019","14  - 17 November 2019"
"8334","Asian Youth Championships - Bengaluru (IND) 2019 ","12  - 15 Dezember 2019"
"10131","Sächsischer Jugendcup 2020, Wk3 Lead in Heidenau","26 September 2020"
"10701","Sächsischer Jugendcup 2020 Wk2 Bouldern im Mandala Dresden","19 September 2020"
"10111","Sächsischer Jugendcup 2020, Wk1 Lead in Dresden (Jugend A-F)","10  - 11 Juli 2020"
"9671","Kidscup Bouldern Region Oberbayern - DAV Kletterzentrum Ingolstadt","1 Februar 2020"
"780","UIAA World Youth Championship - Imst (AUT) 2006","24  - 27 August 2006"
"1205","IFSC World Youth Championships - Valence (FRA) 2009","27  - 30 August 2009"
"1125","IFSC European Youth Series (L) - Prague (CZE) 2008","17  - 18 Mai 2008"
"1120","IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008","27  - 28 Juni 2008"
"1173"," IFSC Asian Championships (B+L+S) - Guangzhou (CHN) 2008","21  - 25 Mai 2008"
"782","IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007","17  - 23 September 2007"
"1000"," International Event (B) Ukrainian Verticals - Kiev (UKR)","26 Mai 2007"
"964","IFSC Climbing Worldcup (L) - Imst (AUT) 2007","11  - 12 Mai 2007"
"7185","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2018 ","11  - 13 Juli 2018"
"6912","Asian Continental Championships - Tehran (IRI) 2017","18  - 21 September 2017"
"6170","IFSC Climbing Worldcup (B,S) - Nanjing (CHN) 2017","29  - 30 April 2017"
"6166","IFSC Climbing Worldcup (B,S) - Chongqing (CHN) 2017","22  - 23 April 2017"
"1467","IFSC Climbing Worldcup (S) - Baku (AZE) 2013","22  - 23 Juni 2013"
"1497","Asian Continental Championship - Tehran, (IRN) 2013","22  - 24 Mai 2013"
"1439","IFSC Climbing World Championship - Paris (FRA) 2012","12  - 16 September 2012"
"1343","IFSC Climbing Worldcup (L,S) - Changzhi (CHN) 2011","7  - 8 September 2011"
"1259","IFSC Climbing World Championships  - Arco (ITA) 2011","15  - 24 Juli 2011"
"1323","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2011","12  - 13 Juli 2011"
"1316","IFSC Climbing Worldcup (B,S) - Milano (ITA) 2011","14  - 17 April 2011"
"1308","Asian Continental Championship","16  - 19 September 2010"
"1236","Asia Championship - Chuncheon (KOR) - 2009","28  - 30 August 2009"
"991","IFSC Climbing World Championships  - Qinghai (CHN) 2009","30 Juni - 5 Juli 2009"
"1242","IFSC Climbing World Championships  - Qinghai (CHN) 2009 - 15m Speed","30 Juni - 5 Juli 2009"
"1073"," IFSC Asian Championships - Guangzhou (CHN) 2007","8  - 11 November 2007"
"973","European Youth Series - Warsaw (POL) 2007","21  - 22 Juli 2007"
"1321","IFSC Climbing Worldcup (B) - Barcelona (ESP) 2011","25  - 26 Juni 2011"
"1320","IFSC Climbing Worldcup (B) - Eindhoven (NED) 2011","17  - 18 Juni 2011"
"1318","IFSC Climbing Worldcup (B) - Vienna (AUT) 2011 ","13  - 14 Mai 2011"
"1317","IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2011","7  - 8 Mai 2011"
"993","IFSC European Championship - Paris (FRA) 2008","15  - 18 Oktober 2008"
"1099","IFSC Climbing Worldcup (B) - Montauban (FRA) 2008","4  - 5 Juli 2008"
"1097","IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008","13  - 14 Juni 2008"
"1096","IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008","30  - 31 Mai 2008"
"982","IFSC Climbing Worldcup (L) - Valence (FRA) 2007","2  - 3 November 2007"
"979","IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2007","28  - 29 September 2007"
"893","UIAA Climbing Worldcup (L) - Marbella (ESP) 2006","16  - 17 September 2006"
"1271","European Championship - Imst/Innsbruck (AUT) 2010","14  - 18 September 2010"
"983","IFSC Climbing Worldcup (B) - Brno (CZE) 2007","9  - 10 November 2007"
"1197","IFSC Climbing Worldcup (S, L) - Chamonix (FRA) 2009","12  - 13 Juli 2009"
"935","Swiss Climbing Cup Bouldern - Thun 2006","9 September 2006"
"985","European Youth Series - Kranj (SLO) 2007","24  - 25 November 2007"
"899","European Youth Cup - Velika Tarnovo (BUL) 2006","7  - 8 Oktober 2006"
"939","Youth Climbing Cup Speed - Schlieren 2006","16 September 2006"
"1159","Swiss Climbing Cup SCC + SM (S) - Ittigen 2008","8 November 2008"
"1014","Swiss Climbing Cup Lead - Schlieren 2007","23 Juni 2007"
"953","Schweizer Meisterschaft (SCC) Speed - Zürich 2006","7 Oktober 2006"
"936","Swiss Climbing Cup Speed - Schlieren 2006","16 September 2006"
"1118","IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008","26  - 27 September 2008"
"1109","IFSC Climbing Worldcup (L) - Imst (AUT) 2008","19  - 20 September 2008"
"1102","IFSC Climbing Worldcup (L) - Bern (SUI) 2008","12  - 13 September 2008"
"1084","Promo Event (L+S) Asia Cup - Changsha (CMA)","5  - 6 November 2007"
"980","IFSC Climbing Worldcup (L) - Kazo (JPN) 2007","13  - 14 Oktober 2007"
"896"," UIAA Asian Championships - Kaoshiung (TPE) 2006","26  - 29 Oktober 2006"
"1636","IFSC Climbing Worldcup (B) - Vail (USA) 2016","10  - 11 Juni 2016"
"1633","IFSC Climbing Worldcup (B) - Navi Mumbai (IND) 2016","14  - 15 Mai 2016"
"1640","IFSC Climbing Worldcup (B, S) - Chongqing (CHN) 2016","30 April - 1 Mai 2016"
"1635","IFSC Climbing Worldcup (B) - Kazo (JPN) 2016","23  - 24 April 2016"
"1452","IFSC Climbing Worldcup (B) - Vail (USA) 2013","7  - 8 Juni 2013"
"1454","IFSC Climbing Worldcup (B) - Toronto (CAN) 2013","1  - 2 Juni 2013"
"1449","IFSC Climbing Worldcup (B) - Innsbruck (AUT) 2013","17  - 18 Mai 2013"
"1450","IFSC Climbing Worldcup (B) - Log-Dragomer (SLO) 2013","11  - 12 Mai 2013"
"1465","IFSC Climbing Worldcup (B) - Kitzbühel (AUT) 2013","26  - 27 April 2013"
"1453","IFSC Climbing Worldcup (B) - Millau (FRA) 2013","5  - 6 April 2013"
"1377","IFSC Climbing Worldcup (B) - Munich (GER) 2012","25  - 26 August 2012"
"1325","IFSC Climbing Worldcup (B) - Munich (GER) 2011 ","19  - 20 August 2011"
"1298","IFSC Climbing Worldcup (B) - Vail (USA) 2011 ","3  - 4 Juni 2011"
"1319","IFSC Climbing Worldcup (B) - Canmore (CAN) 2011","27  - 28 Mai 2011"
"1187","IFSC Climbing Worldcup (B) - Kazo (JPN) 2009","11  - 12 April 2009"
"1388","IFSC Climbing Worldcup (L) - Kranj (SLO) 2012","17  - 18 November 2012"
"1245","IFSC Climbing Worldcup (L) - Kranj (SLO) 2010","13  - 14 November 2010"
"1244","IFSC Climbing Worldcup (L) - Puurs (BEL) 2010","24  - 25 September 2010"
"1251","Rock Master - World Championship Pre-event - Arco (ITA)","16  - 18 Juli 2010"
"1261","IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2010","12  - 13 Juli 2010"
"1212","IFSC European Youth Series - Kranj (SLO) 2009","21  - 22 November 2009"
