,ID,Rank,Last Name,First Name,Points,Event,Gender,Year
10,11470,11,Jaelolo,Aspar,158.0,speed,MEN,2019
11,8525,12,Dzienski,Marcin,150.0,speed,MEN,2019
12,12994,13,Shilov,Aleksandr,137.0,speed,MEN,2019
13,11326,14,Rudatskiy,Lev,136.0,speed,MEN,2019
14,10596,15,Fossali,Ludovico,126.0,speed,MEN,2019
15,12942,16,CAO,Long,121.0,speed,MEN,2019
16,77860,17,LONG,JinBao,120.0,speed,MEN,2019
17,10684,18,Roji,Fatchur,118.0,speed,MEN,2019
18,7964,19,Boldyrev,Danyil,102.0,speed,MEN,2019
19,8560,20,Kokorin,Stanislav,102.0,speed,MEN,2019
20,13483,21,Lee,Seungbeom,93.0,speed,MEN,2019
21,14490,22,CHEN,ZhiXing,77.0,speed,MEN,2019
22,13437,23,Ou,ZhiYong,75.0,speed,MEN,2019
23,12092,24,Zodda,Gian Luca,65.0,speed,MEN,2019
24,13545,25,Iarilovets,Nikolai,63.0,speed,MEN,2019
25,13436,26,LIN,PengHui,62.0,speed,MEN,2019
26,11380,27,Brosler,John,61.0,speed,MEN,2019
27,11575,28,Granja,Carlos,54.0,speed,MEN,2019
28,9567,29,Khaibullin,Rishat,51.0,speed,MEN,2019
29,12643,30,Bogomolov,Arsenii,50.0,speed,MEN,2019
30,9619,31,Maimuratov,Amir,47.0,speed,MEN,2019
31,11191,32,Rebreyend,Pierre,46.0,speed,MEN,2019
32,9696,33,Luzhetskii,Sergei,31.0,speed,MEN,2019
33,10189,34,Artamonov ,Georgy,26.0,speed,MEN,2019
34,12720,35,Mawem,Mickael,26.0,speed,MEN,2019
35,68646,36,LIANG,RongQi,18.0,speed,MEN,2019
36,79287,37,Noya Cardona,Erik,18.0,speed,MEN,2019
37,10172,38,Fujii,Kokoro,16.0,speed,MEN,2019
38,74925,39,ZHANG,Liang,16.0,speed,MEN,2019
39,11091,40,Cornu,Manuel,15.0,speed,MEN,2019
40,83951,41,WANG,MinHui,14.0,speed,MEN,2019
41,13915,42,Goodacre,Joe,12.0,speed,MEN,2019
42,77863,43,Xu,Shuo,12.0,speed,MEN,2019
43,11216,44,AliPourShenazandi,Mehdi,9.0,speed,MEN,2019
44,10618,45,Narasaki,Tomoa,9.0,speed,MEN,2019
45,12473,46,Chan,Cheung-chi Shoji,8.0,speed,MEN,2019
46,10853,47,Khabibullin,Artem,8.0,speed,MEN,2019
47,14523,48,Asrar,Ehsan,6.0,speed,MEN,2019
48,14171,49,BianBa,ZhaXi,5.0,speed,MEN,2019
49,13040,50,Zaenal,Aripin,5.0,speed,MEN,2019
50,6623,51,Hojer,Jan,4.0,speed,MEN,2019
51,12675,52,Knapp,Lukas,3.0,speed,MEN,2019
52,14032,53,Dohi,Keita,2.0,speed,MEN,2019
53,9514,54,Piccolruaz,Michael,2.0,speed,MEN,2019
54,10800,55,Li,Guangfeng,1.0,speed,MEN,2019
55,12432,56,Narasaki,Meichi,1.0,speed,MEN,2019
0,6550,1,Schubert,Jakob,495.0,lead,MEN,2018
1,8323,2,Ghisolfi,Stefano,466.0,lead,MEN,2018
2,3554,3,Desgranges,Romain,356.0,lead,MEN,2018
3,8958,4,Skofic,Domen,356.0,lead,MEN,2018
4,7229,5,Min,Hyunbin,251.0,lead,MEN,2018
5,9058,6,Megos,Alexander,230.0,lead,MEN,2018
6,61376,7,Homma,Taisei,217.0,lead,MEN,2018
7,10951,8,Lehmann,Sascha,206.0,lead,MEN,2018
8,12326,9,Hada,Yuki,192.0,lead,MEN,2018
9,10404,10,Vettorata,Francesco,168.0,lead,MEN,2018
10,8317,11,Bombardi,Marcello,154.0,lead,MEN,2018
11,61368,12,Nishida,Hidemasa,154.0,lead,MEN,2018
12,8315,13,Rudigier,Max,141.0,lead,MEN,2018
13,8608,14,Higuchi,Masahiro,133.0,lead,MEN,2018
14,14478,15,Tanaka,Shuta,127.0,lead,MEN,2018
15,10618,16,Narasaki,Tomoa,124.0,lead,MEN,2018
16,10788,17,Samoilov,Fedir,116.0,lead,MEN,2018
17,10775,18,Bailey,Sean,103.0,lead,MEN,2018
18,11718,19,Nakano,Minoru,99.0,lead,MEN,2018
19,9758,20,Joannes,Thomas,94.0,lead,MEN,2018
20,10962,21,Bosi,William,92.0,lead,MEN,2018
21,11392,22,Shimizu,Hiroto,91.0,lead,MEN,2018
22,10365,23,Puman,Hannes,87.0,lead,MEN,2018
23,10172,24,Fujii,Kokoro,86.0,lead,MEN,2018
24,9492,25,Timmermans,Loïc,80.0,lead,MEN,2018
25,5089,26,McColl,Sean,77.0,lead,MEN,2018
26,12501,27,Ogata,Yoshiyuki,74.0,lead,MEN,2018
27,12431,28,Nakagami,Taito,73.0,lead,MEN,2018
28,12528,29,Konecny,Jakub,62.0,lead,MEN,2018
29,11024,30,Collin,Nicolas,61.0,lead,MEN,2018
30,8372,31,Ondra,Adam,55.0,lead,MEN,2018
31,12604,32,Flohé,Yannick,48.0,lead,MEN,2018
32,10625,33,Parma,Georg,48.0,lead,MEN,2018
33,56609,34,Ginés López,Alberto,43.0,lead,MEN,2018
34,8536,35,Qu,HaiBin,39.0,lead,MEN,2018
35,14023,36,Harada,Kai,36.0,lead,MEN,2018
36,57874,37,Potocar,Luka,32.0,lead,MEN,2018
37,3521,38,Julian  Puigblanque,Ramón ,31.0,lead,MEN,2018
38,9426,39,Halenke,Sebastian,29.0,lead,MEN,2018
39,10963,40,Pope,James,29.0,lead,MEN,2018
40,8503,41,KIM,Hanwool,26.0,lead,MEN,2018
41,10080,42,JonasMcRae,Elan,20.0,lead,MEN,2018
42,14032,43,Dohi,Keita,18.0,lead,MEN,2018
43,9425,44,Firnenburg,David,18.0,lead,MEN,2018
44,11608,45,Kuhnel,Martin,16.0,lead,MEN,2018
45,12629,46,Monchois,Nao,16.0,lead,MEN,2018
46,6623,47,Hojer,Jan,15.0,lead,MEN,2018
47,9514,48,Piccolruaz,Michael,14.0,lead,MEN,2018
48,13228,49,Avezou,Sam,12.0,lead,MEN,2018
49,6498,50,Supper,Gautier,12.0,lead,MEN,2018
50,11039,51,Shemla,Yuval,9.0,lead,MEN,2018
51,11380,52,Brosler,John,8.0,lead,MEN,2018
52,7999,53,Cano Blazquez,Javier,8.0,lead,MEN,2018
53,74704,54,Jo,Wan Jae,8.0,lead,MEN,2018
54,12303,55,Lightner,Kai,8.0,lead,MEN,2018
55,3115,56,Verhoeven,Jorg,6.0,lead,MEN,2018
56,67094,57,GEFFROY,Romaric,5.0,lead,MEN,2018
57,6488,58,Kruder,Jernej,5.0,lead,MEN,2018
58,10688,59,Muhammad,Alfian,5.0,lead,MEN,2018
59,59038,60,Sapra,Rahul,5.0,lead,MEN,2018
60,9997,61,Bergant,Martin,4.0,lead,MEN,2018
61,60946,62,Doyle,Aidan,4.0,lead,MEN,2018
62,12304,63,Ruana,Rudolph,4.0,lead,MEN,2018
63,74554,64,Barraclough,Brandon,3.0,lead,MEN,2018
64,12625,65,Duval,Arsène,3.0,lead,MEN,2018
65,57746,66,McArthur,Hamish,2.0,lead,MEN,2018
66,9996,67,Preskar,Milan,2.0,lead,MEN,2018
67,66103,68,Septo Wibowo Siburian,Pangeran,2.0,lead,MEN,2018
68,9991,69,Bonder,Jeremy,1.0,lead,MEN,2018
69,11470,70,Jaelolo,Aspar,1.0,lead,MEN,2018
70,12078,71,Posch,Mathias,1.0,lead,MEN,2018
71,10326,72,Vogt,Dimitri,1.0,lead,MEN,2018
0,11989,1,Garnbret,Janja,550.0,lead,WOMEN,2018
1,9970,2,Pilz,Jessica,505.0,lead,WOMEN,2018
