,Rank,Name,Name.1,Nation,Points,Kranj 17.11.2012,Inzai 27.10.2012,Mokpo 20.10.2012,Xining 12.10.2012,Atlanta 29.09.2012,Puurs 21.09.2012,Imst 10.08.2012,Briançon 20.07.2012,Chamonix 12.07.2012,2012,event,gender
72,72,Kim,Hongil,KOR,5.00,,,26. 5.00,,,,,,,2012,lead,MEN
73,72,Schellingerhout,Elko,NED,5.00,26. 5.00,,,,,,,,,2012,lead,MEN
74,75,Doyle,Mike,CAN,4.00,,,,,27. 4.00,,,,,2012,lead,MEN
75,75,Kim,Myeongsu,KOR,4.00,,,27. 4.00,,,,,,,2012,lead,MEN
76,77,Abu Hassan,Khairul Hafiz,MAS,3.00,,,28. 3.00,,,,,,,2012,lead,MEN
77,77,Epih,Sergej,SLO,3.00,,,,,,,28. 3.00,,,2012,lead,MEN
78,77,Numajiri,Takuma,JPN,3.00,,28. 3.00,,,,,,,,2012,lead,MEN
79,77,Röck,Bernhard,AUT,3.00,28. 3.00,,,,,,,,,2012,lead,MEN
80,77,Sethna,Eric,CAN,3.00,,,,,28. 3.00,,,,,2012,lead,MEN
81,82,Jung,Markus,GER,2.00,29. 1.00,,,,,,30. 1.00,,,2012,lead,MEN
82,82,Palmer,Andrew,USA,2.00,,,,,29. 2.00,,,,,2012,lead,MEN
83,82,Yoon,Daehee,KOR,2.00,,,29. 2.00,,,,,,,2012,lead,MEN
84,85,Labarge,Dominic,USA,1.00,,,,,30. 1.00,,,,,2012,lead,MEN
85,85,OH,Sewoong,KOR,1.00,,,30. 1.00,,,,,,,2012,lead,MEN
86,85,Ogata,Kazutoshi,JPN,1.00,,30. 1.00,,,,,,,,2012,lead,MEN
87,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2012. Not counting points are in brackets.,2012,lead,MEN
