,Rank,Name,Name.1,Nation,Points,1325,1322,1321,1320,1298,1319,1318,1317,1316,2011,event,gender,athlete_id
81,82,Ulzhabayeva,Tamara,KAZ,7.00,,,,,,,,,23. 7.00,2011,boulder,WOMEN,5151
82,83,Sawitsky,Heather,CAN,6.00,,,,,,25. 6.00,,,,2011,boulder,WOMEN,10499
83,84,Kennedy,Regan,CAN,5.00,,,,,,26. 5.00,,,,2011,boulder,WOMEN,10500
84,84,PAN,Xuhua,CHN,5.00,,,,,25. 5.00,,,,,2011,boulder,WOMEN,8787
85,84,Sdobnikova,Ksenia,RUS,5.00,,,,,,,,26. 5.00,,2011,boulder,WOMEN,5154
86,84,Shaw,Sarah,USA,5.00,,,,,25. 5.00,,,,,2011,boulder,WOMEN,10464
87,88,Menlove,Portia,USA,4.00,,,,,27. 4.00,,,,,2011,boulder,WOMEN,8972
88,88,Vidmar,Maja,SLO,4.00,,,,,,,,27. 4.00,,2011,boulder,WOMEN,3482
89,88,van Bergen,Nikki,NED,4.00,,,,26. 4.00,,,,,,2011,boulder,WOMEN,8196
90,91,Aleman Sobrino,Helena,ESP,3.00,,,28. 3.00,,,,,,,2011,boulder,WOMEN,9105
91,91,Leiner,Isabell,GER,3.00,28. 3.00,,,,,,,,,2011,boulder,WOMEN,7609
92,91,Tsyganova,Anna,RUS,3.00,,,,,,,,,28. 3.00,2011,boulder,WOMEN,8428
93,94,Becerra,Mathilde,FRA,2.00,29. 2.00,,,,,,,,,2011,boulder,WOMEN,9317
94,94,Celkova,Maria,CAN,2.00,,,,,,29. 2.00,,,,2011,boulder,WOMEN,6277
95,94,Faure,Jessica,FRA,2.00,,,,,,,,,29. 2.00,2011,boulder,WOMEN,9072
96,94,Hohkraut,Mateja,SLO,2.00,,,,,,,,28. 2.00,,2011,boulder,WOMEN,6083
97,94,Yasuda,Atori,JPN,2.00,,,,,,,,28. 2.00,,2011,boulder,WOMEN,9099
98,99,Fakhritdinova,Dinara,RUS,1.00,,,,,,,29. 1.00,,,2011,boulder,WOMEN,7576
99,99,Ozver,Gurgel,TUR,1.00,,,29. 1.00,,,,,,,2011,boulder,WOMEN,8021
100,99,Schranz,Christine,AUT,1.00,,,,,,,29. 1.00,,,2011,boulder,WOMEN,5629
101,99,Shchelnikova,Olga,RUS,1.00,,,,30. 1.00,,,,,,2011,boulder,WOMEN,9691
102,99,Sumura,Hiroyo,JPN,1.00,,,,,30. 1.00,,,,,2011,boulder,WOMEN,10377
