,Rank,Name,Name.1,Nation,Points,533,532,531,586,527,551,528,550,524,521,2003,event,gender,athlete_id
38,39,Iovane,Luisa,ITA,36.00,,,,,,23. 8.00,,18. 16.00,,20. 12.00,2003,lead,WOMEN,1213
39,39,Muñoz,Eva Elez,ESP,36.00,,,,,,14. 24.00,20. 12.00,,,,2003,lead,WOMEN,5558
40,41,Harrington,Emily,USA,34.00,,,,,,,,10. 34.00,,,2003,lead,WOMEN,3673
41,41,Malamid,Evgeniia,RUS,34.00,,,,,,,,,14. 24.00,21. 10.00,2003,lead,WOMEN,5147
42,41,Mathieu,Laure,FRA,34.00,22. 9.00,,,26. 5.00,,,16. 20.00,,,,2003,lead,WOMEN,3145
43,44,Knabl,Sabine,AUT,33.00,24. 7.00,,,,21. 10.00,28. 3.00,23. 8.00,,,26. 5.00,2003,lead,WOMEN,3136
44,45,Elez,Eva,ESP,32.00,,,,21. 10.00,15. 22.00,,,,,,2003,lead,WOMEN,6364
45,46,Zeilemaker,Monica,NED,31.00,21. 10.00,17. 18.00,,,,,28. 3.00,,,,2003,lead,WOMEN,1285
46,47,Rymcha,Natalia,RUS,28.00,,,,,,,,,12. 28.00,,2003,lead,WOMEN,3276
47,48,Balakireva,Alexandra,RUS,26.00,,,,,,,,,13. 26.00,,2003,lead,WOMEN,3315
48,48,Benetti,Lisa,ITA,26.00,,,,,,,,17. 18.00,,23. 8.00,2003,lead,WOMEN,1203
49,48,CRUZ MONTALBAN,Esther,ESP,26.00,,,,,,,13. 26.00,,,,2003,lead,WOMEN,3168
50,51,Liu,Hiu Ying,HKG,22.00,,15. 22.00,,,,,,,,,2003,lead,WOMEN,1145
51,51,Ruyga,Tatiana,RUS,22.00,,,,,,,,,15. 22.00,,2003,lead,WOMEN,1378
52,51,Son,Mélanie,FRA,22.00,,,,15. 22.00,,,,,,,2003,lead,WOMEN,1275
53,54,Martin Sancho,Berta,ESP,20.00,,,,,,,16. 20.00,,,,2003,lead,WOMEN,3070
54,55,Korolkova,Ekaterina,RUS,18.00,,,,,,,,,17. 18.00,,2003,lead,WOMEN,3277
55,56,Saulevich,Olesya,RUS,16.00,,18. 16.00,,,,,,,,,2003,lead,WOMEN,2712
56,57,Huang,Bai-Le,TPE,15.00,30. 1.00,,26. 5.00,,25. 6.00,28. 3.00,,,,,2003,lead,WOMEN,4937
57,58,Ryzhkova,Margarita,RUS,14.00,,,,,,,,,19. 14.00,,2003,lead,WOMEN,1270
58,59,Flores,Elaina Kristine Ap,PHI,12.00,,20. 12.00,,,,,,,,,2003,lead,WOMEN,5937
59,59,Rajfova,Lucie,CZE,12.00,,,,,20. 12.00,,,,,,2003,lead,WOMEN,3481
60,61,Bacher,Sabine,AUT,11.00,27. 4.00,,,,24. 7.00,,,,,,2003,lead,WOMEN,2821
61,61,Lagoffun,Sarah,FRA,11.00,,,,27. 4.00,,24. 7.00,,,,,2003,lead,WOMEN,2806
62,61,Lipenska,Helena,CZE,11.00,,,,,26. 5.00,,,,,25. 6.00,2003,lead,WOMEN,5335
63,64,Cintalova,Katarina,SVK,10.00,,,,,21. 10.00,,,,,,2003,lead,WOMEN,2742
64,64,Li,Chunhua,CHN,10.00,,25. 6.00,,,,27. 4.00,,,,,2003,lead,WOMEN,4962
65,64,Ribnikar,Masa,SLO,10.00,,,21. 10.00,,,,,,,,2003,lead,WOMEN,5898
66,64,Yuniar,Yuyun,INA,10.00,,21. 10.00,,,,,,,,,2003,lead,WOMEN,4951
67,68,Käyhkö,Janina,FIN,9.00,,,,,,,,,,22. 9.00,2003,lead,WOMEN,3403
68,68,Lopez Rivera,Eva,ESP,9.00,,,,,,,22. 9.00,,,,2003,lead,WOMEN,6227
69,68,Zhang,Qing,CHN,9.00,,22. 9.00,,,,,,,,,2003,lead,WOMEN,5413
70,71,Didillion,Aurelie,FRA,8.00,,,,23. 8.00,,,,,,,2003,lead,WOMEN,3586
71,71,Hendrawati,Agung Ethi,INA,8.00,,23. 8.00,,,,,,,,,2003,lead,WOMEN,4950
72,71,Planinc,Katja,SLO,8.00,,,23. 8.00,,,,,,,,2003,lead,WOMEN,5024
73,74,Abramchuk,Yulia,RUS,7.00,,,,,,,,24. 7.00,,,2003,lead,WOMEN,2736
74,74,Gosar,Asja,SLO,7.00,,,24. 7.00,,,,,,,,2003,lead,WOMEN,5899
