,Rank,Name,Name.1,Nation,Points,Munich 19.08.2011,Sheffield 02.07.2011,Barcelona 25.06.2011,Eindhoven 17.06.2011,Vail 03.06.2011,Canmore 27.05.2011,Vienna 13.05.2011,Log-Dragomer 07.05.2011,Milano 14.04.2011,2011,event,gender
82,83,Sawitsky,Heather,CAN,6.00,,,,,,25. 6.00,,,,2011,boulder,WOMEN
83,84,Kennedy,Regan,CAN,5.00,,,,,,26. 5.00,,,,2011,boulder,WOMEN
84,84,PAN,Xuhua,CHN,5.00,,,,,25. 5.00,,,,,2011,boulder,WOMEN
85,84,Sdobnikova,Ksenia,RUS,5.00,,,,,,,,26. 5.00,,2011,boulder,WOMEN
86,84,Shaw,Sarah,USA,5.00,,,,,25. 5.00,,,,,2011,boulder,WOMEN
87,88,Menlove,Portia,USA,4.00,,,,,27. 4.00,,,,,2011,boulder,WOMEN
88,88,Vidmar,Maja,SLO,4.00,,,,,,,,27. 4.00,,2011,boulder,WOMEN
89,88,van Bergen,Nikki,NED,4.00,,,,26. 4.00,,,,,,2011,boulder,WOMEN
90,91,Aleman Sobrino,Helena,ESP,3.00,,,28. 3.00,,,,,,,2011,boulder,WOMEN
91,91,Leiner,Isabell,GER,3.00,28. 3.00,,,,,,,,,2011,boulder,WOMEN
92,91,Tsyganova,Anna,RUS,3.00,,,,,,,,,28. 3.00,2011,boulder,WOMEN
93,94,Becerra,Mathilde,FRA,2.00,29. 2.00,,,,,,,,,2011,boulder,WOMEN
94,94,Celkova,Maria,CAN,2.00,,,,,,29. 2.00,,,,2011,boulder,WOMEN
95,94,Faure,Jessica,FRA,2.00,,,,,,,,,29. 2.00,2011,boulder,WOMEN
96,94,Hohkraut,Mateja,SLO,2.00,,,,,,,,28. 2.00,,2011,boulder,WOMEN
97,94,Yasuda,Atori,JPN,2.00,,,,,,,,28. 2.00,,2011,boulder,WOMEN
98,99,Fakhritdinova,Dinara,RUS,1.00,,,,,,,29. 1.00,,,2011,boulder,WOMEN
99,99,Ozver,Gurgel,TUR,1.00,,,29. 1.00,,,,,,,2011,boulder,WOMEN
100,99,Schranz,Christine,AUT,1.00,,,,,,,29. 1.00,,,2011,boulder,WOMEN
101,99,Shchelnikova,Olga,RUS,1.00,,,,30. 1.00,,,,,,2011,boulder,WOMEN
102,99,Sumura,Hiroyo,JPN,1.00,,,,,30. 1.00,,,,,2011,boulder,WOMEN
103,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,8 (=9-1) best competition results are counting for IFSC Climbing Worldcup 2011. Not counting points are in brackets.,2011,boulder,WOMEN
