,Rank,Name,Name.1,Nation,Points,7182,7179,7149,7185,7164,7137,7140,7134,2018,event,gender,athlete_id
61,61,Terleev,Vladislav,RUS,5.00,,,,,,,,26. 5.00,2018,speed,MEN,61124
62,63,Collin,Nicolas,BEL,4.00,27. 4.00,,,,,,,,2018,speed,MEN,11024
63,63,Pavlenko,Oleksandr,UKR,4.00,,,,,27. 4.00,,,,2018,speed,MEN,12124
64,65,Cingari,Alessandro,ITA,3.00,,,28. 3.00,,,,,,2018,speed,MEN,13996
65,65,Karim pour,Porya,IRI,3.00,,,,,,,,28. 3.00,2018,speed,MEN,60834
66,65,Lehmann,Sascha,SUI,3.00,,28. 3.00,,,,,,,2018,speed,MEN,10951
67,65,YANG,XueBan,CHN,3.00,,,,,,28. 3.00,,,2018,speed,MEN,71508
68,69,Doyle,Aidan,CAN,2.00,29. 2.00,,,,,,,,2018,speed,MEN,60946
69,69,Huang,DiChong,CHN,2.00,,,,,,,29. 2.00,,2018,speed,MEN,13575
70,69,Plangger,Tobias,AUT,2.00,,,29. 2.00,,,,,,2018,speed,MEN,13222
71,72,Nagaev,Almaz,RUS,1.00,,,,,,,,30. 1.00,2018,speed,MEN,59986
72,72,Pan,YuFei,CHN,1.00,,,,30. 1.00,,,,,2018,speed,MEN,12940
73,72,Timmermans,Loïc,BEL,1.00,30. 1.00,,,,,,,,2018,speed,MEN,9492
